_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD_NAME,X,Y,LONGITUDE,LATITUDE,MI_PRINX,OBJECTID,CAPACITY,MULTIMODAL,SEASONAL,SHELTERED,SURFACE,STATUS,LOCATION,NOTES,MAP_CLASS,geometry
5785,51630,5,Bartonville Ave E,5 Bartonville Ave E,M6M 2B1,YORK,Toronto,20112838,5,,,,433,York South-Weston (505),,,,,2876415,1,8,No,No,No,asphalt,Delivered,,No bolt down - in York District,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4945826627, 43.6894845939)}"
5786,310564,150,Borough Dr,150 Borough Dr,M1P 4N7,SCARBOROUGH,Toronto,107945,150,,,,7397,Scarborough Centre (2121),,,,,3838259,2,8,Yes,No,No,,Installed,Scarborough Civic Centre,adjacent to civic centre & Square,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.2572409578, 43.7728105957)}"
5787,367443,71,New Forest Sq,71 New Forest Sq,M1V 2Z6,SCARBOROUGH,Toronto,20050441,71,,,,9497,Scarborough-Agincourt (2222),,,,,1739719,3,8,No,No,No,concrete,Installed,,60m south of Steeles on W side of Kennedy (closest valid address),Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3074473907, 43.8230331061)}"
5788,379258,95,River Grove Dr,95 River Grove Dr,M1W 3T8,SCARBOROUGH,Toronto,20052191,95,,,,8803,Scarborough-Agincourt (2222),,,,,1926239,4,8,No,No,No,concrete,Installed,,S-W corner of Birchmount & Steeles (closest valid address),Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.317389651, 43.8209470944)}"
5789,394585,24,Victoria Park Ave,24 Victoria Park Ave,M4E 3R9,SCARBOROUGH,Toronto,113274,24,,,,370,Beaches-East York (1919),,,,,2770103,5,8,No,No,No,,Installed,,One 8-bike rack on TTC property,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.2810262939, 43.675363068)}"
5790,772775,315,Bloor St W,315 Bloor St W,M5S 1A3,former TORONTO,Toronto,1142564,315,,,,458,University-Rosedale (1111),,,,,1591359,6,8,No,No,No,concrete,Installed,,White mark,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3985624501, 43.6674469424)}"
5791,772800,398,Bloor St W,398 Bloor St W,M5S 1X4,former TORONTO,Toronto,1142870,398,,,,458,University-Rosedale (1111),,,,,2042974,7,16,No,No,No,asphalt,Approved,,50m north of Bloor,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4073484624, 43.6661256152)}"
5792,772833,481,Bloor St W,481 Bloor St W,M5S 1X9,former TORONTO,Toronto,1142870,481,,,,458,University-Rosedale (1111),,,,,1755303,8,8,No,No,No,asphalt,Approved,,bikes face east,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4071172093, 43.6657537894)}"
5793,772852,509,Bloor St W,509 Bloor St W,M5S 1Y2,former TORONTO,Toronto,1142919,509,,,,458,University-Rosedale (1111),,,,,2459164,9,8,No,No,No,asphalt,Installed,,in exchange for Borden corral,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4083859965, 43.6654609016)}"
5794,772899,612,Bloor St W,612 Bloor St W,M6G 1K7,former TORONTO,Toronto,1143160,612,,,,458,University-Rosedale (1111),,,,,1777979,10,8,No,No,No,concrete,Installed,,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.4138388158, 43.66473417)}"
